Contract Number,Vendor Number,Vendor Name,Amount,Description,System Release,Lead Department,Start Date,End Date,Category,Commodity Category
1485-13470,852263,GREEN WHEELS LTD,64870.00,2014 FORD FOCUS EV AUTOMOBILE,05/08/2014,1011.OFFICE OF CHIEF ADMIN OFFICER,08/05/2013,08/04/2014,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1485-13470.pdf),
1441-13347,817914,FIDLAR ACQUISITION INC,19000.00,PROPERTY FRAUD ALERT,05/14/2014,1527.COUNTY RECORDER DOC. STRG. FND,12/01/2013,11/30/2014,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1441-13347.pdf),
1445-13581,82371,INTERSTATE ELECTRONICS CO,44950.00,EMERGENCY REPAIR SECUIRTY INTERCOM SYSTEM.,05/14/2014,1200.DEPT. OF FACILITIES/MGMT,05/09/2014,05/08/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1445-13581.pdf),
1426-13642,489605,"BEAMS TECHNOLOGIES, INC.",8864.00,DOG FOOD-BLUE BUFFALO,05/21/2014,1239.DEPARTMENT OF CORRECTIONS,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1426-13642.pdf),
1430-13489,468747,JJ COLLINS SONS INC,30600.00,JUROR SUMMONS ENVELOPES,05/21/2014,1310.OFFICE OF THE CHIEF JUDGE,05/27/2014,05/26/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1430-13489.pdf),
1484-13437,94073,ADVENT SYSTEMS INC,122180.00,MAINTENANCE OF SECURITY SYSTEM,05/21/2014,1200.DEPT. OF FACILITIES/MGMT,09/01/2014,08/31/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1484-13437.pdf),
1335-13002,94451,ADVANCED MANAGEMENT SERVICES MIDWEST,85608.00,INFORMATIONAL COMPUTER KIOSKS,05/23/2014,1528.CIRCUIT COURT AUTOMATION FUND,05/23/2014,05/22/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1335-13002.pdf),
1426-13616,93402,CHICAGO UNITED INDUSTRIES,19955.00,INSTALL MULTIFOLD DOORS,05/23/2014,1200.DEPT. OF FACILITIES/MGMT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1426-13616.pdf),
1485-13361,740972,SYSTEM INNOVATORS INC,136359.00,CASHIERING SYSTEM MAINT.,05/23/2014,1230.COURT SERVICES DIVISION,06/01/2014,05/31/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1485-13361.pdf),
1353-13213,,ACE COFFEE BAR INC,733660.60,JUROR FOOD SERVICE,05/24/2014,1310.OFFICE OF THE CHIEF JUDGE,08/17/2014,08/16/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1353-13213.pdf),
1353-13213,82272,ACE COFFEE BAR INC,733660.60,OPERATION OF THE CAFETERIA AT THE CRIMINAL COURT ADMIN. BUILDING,05/27/2014,1310.OFFICE OF THE CHIEF JUDGE,08/17/2014,08/16/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1353-13213.pdf),
1411-13444,93172,TRI-ANGLE FABRICATION & BODY CO,126530.00,2014 FORD F650 REGULAR CAP XLT,05/27/2014,COUNTYWIDE,05/12/2014,05/11/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1411-13444.pdf),
1426-13733,854259,DL POWER TECHNOLOGY CORP,11493.00,REPAIR CIRCUIT BREAKERS,05/27/2014,1200.DEPT. OF FACILITIES/MGMT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1426-13733.pdf),
1485-13503,91514,TODAY'S BUSINESS SOLUTIONS INC,7773.00,SERVICE MAINTENANCE,05/27/2014,1530.COUNTY LAW LIBRARY,12/01/2013,11/30/2014,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1485-13503.pdf),
1441-13583,80325,IBM CORPORATION,8100.00,TAPE VAULT,05/30/2014,1016.IT SOLUTIONS,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1441-13583.pdf),
1490-13636,733557,MICROSOFT PROFESSIONAL SUPPORT SALES,815000.00,CONSULTING SERVICES,05/30/2014,1016.IT SOLUTIONS,05/21/2014,05/20/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1490-13636.pdf),
1385-12866,76501,ROOT BROTHERS MFG & SUPPLY CO,125000.00,SMALL TOOLS & INDUSTRIAL SUPPLIES,05/30/2014,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1385-12866.pdf),
11-45-156,523899,TABB TEXTILES,278193.10,LINENS,06/09/2014,1440.JUVENILE TEMPORARY DETENT.CNTR,04/03/2014,04/02/2015,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/11-45-156-A1.pdf),
1426-13734,817224,DS SERVICES OF AMERICA,3900.00,5 GALLON BOTTLED WATER,06/09/2014,1541.SOCIAL SERVICE PROB & CRT FEE,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1426-13734.pdf),
1426-13747,80325,IBM CORPORATION,9000.00,AS 400 MAINTENANCE,06/09/2014,1016.IT SOLUTIONS,05/29/2014,05/28/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1426-13747.pdf),
1455-13406,854261,PETER BAKER & SON CO,3244464.77,SANDERS ROAD IMPROVEMENT,06/09/2014,MFT Cook County Sales Tax - 718,05/21/2014,10/10/2014,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1455-13406.pdf),
1485-13456,723291,NEOPOST USA INC,17721.98,NEOPOST IS-5000 DIGITAL MAILING SYSTEM,06/09/2014,1050.BOARD OF REVIEW,06/06/2014,06/05/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1485-13456.pdf),
1488-13680,743535,HENRY'S SOBER LIVING HOUSE,644955.00,ALTERNATIVE TEMPORARY HOUSING,06/10/2014,1239.DEPARTMENT OF CORRECTIONS,06/01/2014,05/31/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1488-13680.pdf),
1488-13689,81620,A SAFE HAVEN LLC,4774200.00,ALTERNATIVE TEMPORARY HOUSING,06/10/2014,1239.DEPARTMENT OF CORRECTIONS,06/01/2014,05/31/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1488-13689.pdf),
1453-13368,853514,BLACK DOG CHICAGO  CORP.,61045.00,EGG PRODUCTS,06/12/2014,1440.JUVENILE TEMPORARY DETENT.CNTR,07/01/2014,06/30/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1453-13368.pdf),
1353-13117,760037,THE CHICAGO BAR FOUNDATION,477402.50,MUNICIPAL LEGAL ADVICE DESK SERVICES,06/12/2014,1310.OFFICE OF THE CHIEF JUDGE,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1353-13117.pdf),
1323-12478,92309,ALFRED BENESCH & CO,250000.00,TRAFFIC ENGINEERING SERVICES,06/13/2014,1500.COUNTY HIGHWAY DEPARTMENT,06/01/2014,05/31/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1323-12478.pdf),
1353-13063B,736267,ZUNO PHOTOGRAPHIC STUDIO,100000.00,PROFESSIONAL PHOTOGRAPHY AND VIDEOGRAPHY SERVICES,06/13/2014,COUNTYWIDE,06/13/2014,06/12/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1353-13063B.pdf),
1353-13063C,72297,"POWELL PHOTOGRAPHY, INC.",100000.00,PROFESSIONAL PHOTOGRAPHY AND VIDEOGRAPHY SERVICES,06/13/2014,COUNTYWIDE,06/13/2014,06/12/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1353-13063C.pdf),
1418-13262,828978,"RADA ARCHITECTS, LTD",158800.67,"ARCHITECTURAL SERVICES CCAB RENOVATE FLOORS 7, 8, & 9",06/13/2014,CC Physical Plant & Spl Proj - 720,06/01/2014,12/31/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1418-13262.pdf),
1441-13486,750902,IRON MOUNTAIN INFORMATION MANAGEMENT INC,341014.38,"OFF-SITE RECORDS MANAGEMENT, STORAGE AND DESTRUCTION",06/13/2014,1009.ENTERPRISE TECHNOLOGY,02/01/2014,02/28/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1441-13486.pdf),
1485-13719,852098,"DRISCOLL JR., PATRICK T",24500.00,ADMINISTRATIVE HEARING SERVICE,06/13/2014,1040.COUNTY ASSESSOR,05/15/2014,05/14/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1485-13719.pdf),
1485-13720,820725,"FLEMING, DENNIS MICHAEL",24500.00,ADMINISTRATIVE HEARING SERVICE,06/13/2014,1040.COUNTY ASSESSOR,05/15/2014,05/14/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1485-13720.pdf),
1485-13724,820310,"REYNA, RALPH",24500.00,ADMINISTRATIVE HEARING SERVICE,06/13/2014,1040.COUNTY ASSESSOR,05/15/2014,05/14/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1485-13724.pdf),
1318-12616,76464,"AMERICAN SURVEYING AND ENGINEERING, PC",350000.00,TOPOGRAPHIC SURVEYING SERVICES,06/13/2014,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1318-12616.pdf),
1353-13063A,850416,"OPTIXAUDIO, INC.",100000.00,PROFESSIONAL PHOTOGRAPHY AND VIDEOGRAPHY SERVICES,06/13/2014,COUNTYWIDE,06/13/2014,06/12/2016,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1353-13063A.pdf),
1430-13578,854729,"CBIZ BENEFITS & INSURANCE SERVICES, INC.",17100.00,PHARMACY BENEFIT CONSULTING SERVICES,06/17/2014,1008.RISK MANAGEMENT,06/16/2014,06/15/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1430-13578.pdf),
1322-13154,851022,"LEE JENSEN SALES COMPANY, INC.",19855.00,FIELD SENSORY EQUIPMENT,06/19/2014,1161.DEPT OF ENVIROMENTAL CTRL,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1322-13154.pdf),
1426-13698,81841,LAN MARKETING LTD,6133.00,CHAIRS - JURYROOM - 26TH & CAL,06/19/2014,1310.OFFICE OF THE CHIEF JUDGE,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1426-13698.pdf),
1426-13705,853845,MIDWEST DOCK SOLUTIONS INC,8400.00,REPAIR DOCK LEVELER,06/19/2014,1200.DEPT. OF FACILITIES/MGMT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1426-13705.pdf),
1350-12923,854136,EVERBRIDGE INC.,2919000.00,MASS NOTIFICATION SYSTEM,06/19/2014,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1350-12923.pdf),
1335-13234,854426,E-MEDIA SOLUTIONS,37500.00,THERMAL PAPER ROLLS,06/20/2014,1524.COUNTY CLERK ELECTION DIV.FUND,06/02/2014,06/01/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1335-13234.pdf),
1388-13061,731208,HNTB CORP,635700.00,LAND ACQUISITION SERVICES,06/20/2014,1500.COUNTY HIGHWAY DEPARTMENT,06/01/2014,05/31/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1388-13061.pdf),
1441-13328,81620,A SAFE HAVEN LLC,140000.00,ENCHANCED SUSTANCE ABUSE RECOV,06/20/2014,SA Victim Asstance Serv. - 618,06/20/2014,09/30/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1441-13328.pdf),
1453-13662,96126,SUSAN J  WHITE & ASSOC,135000.00,FEDERAL LOBBYIST SERVICES,06/20/2014,1010.OFFICE OF THE PRESIDENT,02/01/2014,12/31/2014,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1453-13662.pdf),
1485-13728,853992,"BATTLE, BERNADINE V",20000.00,CONSULTING SERVICES,06/20/2014,1040.COUNTY ASSESSOR,06/23/2014,06/22/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1485-13728.pdf),
1485-13729,853971,"BAUSONE, CYNTHIA R",20000.00,CONSULTING SERVICES,06/20/2014,1040.COUNTY ASSESSOR,06/23/2014,06/22/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1485-13729.pdf),
1485-13730,853972,"DUDASIK, MICHAEL W",20000.00,CONSULTING SERVICES,06/20/2014,1040.COUNTY ASSESSOR,06/23/2014,06/22/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1485-13730.pdf),
13-23-061,817261,"HEY & ASSSOCIATES, INC.",300000.00,HYDRAULIC ENGINEERING AND SURVEYING SERVICES,06/23/2014,1500.COUNTY HIGHWAY DEPARTMENT,06/01/2014,05/31/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/13-23-061.pdf),
1445-13530,723100,PROGRESSIVE INDUSTRIES INC,28722.00,WALK BEHIND AUTOSCRUBBERS,06/23/2014,1200.DEPT. OF FACILITIES/MGMT,06/17/2014,06/16/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1445-13530.pdf),
1485-13777,75320,FOX VALLEY FIRE & SAFETY CO,1785.00,REPAIR FIRE ALARM,06/23/2014,1200.DEPT. OF FACILITIES/MGMT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1485-13777.pdf),
1328-13107,839347,NORESCO LLC,300000.00,GAURANTEED ENERGY & EMISSIONS SAVINGS FOR CORPORATE & PROVIDENT,06/24/2014,1031.OFFICE OF ASSET MANAGEMENT,07/01/2014,12/31/2014,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1328-13107.pdf),
1323-13116,768134,BAXTER & WOODMAN INC,375000.00,BUILDING/ZONING PERMIT REVIEW,06/25/2014,1500.COUNTY HIGHWAY DEPARTMENT,07/01/2014,06/30/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1323-13116.pdf),
1441-13461,778390,AMCAD LLC,305677.00,MICROFILM CONVERSION,06/25/2014,1527.COUNTY RECORDER DOC. STRG. FND,06/01/2014,05/31/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1441-13461.pdf),
1484-13323,833923,ROESCH FORD,42500.00,AUTOMOBILE VAN,06/25/2014,1500.COUNTY HIGHWAY DEPARTMENT,06/19/2014,06/18/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1484-13323.pdf),
1441-13551,740972,SYSTEM INNOVATORS INC,12700.00,ANNUAL MAINTENANCE,06/25/2014,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1441-13551.pdf),
1323-13101,839347,NORESCO LLC,300000.00,GAURANTEED ENERGY AND EMISSIONS SAVINGS,06/26/2014,1031.OFFICE OF ASSET MANAGEMENT,07/01/2014,12/31/2014,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1323-13101.pdf),
1430-13603,772040,M3 MEDICAL MANAGEMENT SERVICES LTD,52800.00,TRANSCRIPTION SERVICES REPORTS,06/26/2014,1080.OFFICE OF INSPECTOR GENERAL,06/26/2014,06/25/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1430-13603.pdf),
1453-13340,75312,FINER FOODS INC,2123616.20,DRY AND CANNED GOODS,06/26/2014,1440.JUVENILE TEMPORARY DETENT.CNTR,07/01/2014,06/30/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1453-13340.pdf),
1453-13378,75312,FINER FOODS INC,221898.50,PRODUCE PRODUCTS,06/26/2014,1440.JUVENILE TEMPORARY DETENT.CNTR,07/01/2014,06/30/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1453-13378.pdf),
1453-13381,75312,FINER FOODS INC,845532.15,FROZEN FOOD PRODUCTS,06/26/2014,1440.JUVENILE TEMPORARY DETENT.CNTR,07/01/2014,06/30/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1453-13381.pdf),
1455-13398,854782,NAGLE HARTRAY ARCHITETURE LTD,640142.00,RFP- CCL LEAKAGE PROJECT,06/26/2014,1031.OFFICE OF ASSET MANAGEMENT,07/07/2014,09/22/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1455-13398.pdf),
1455-13427,726280,PLOTE CONSTRUCTION INC,2595071.00,PAVEMENT RESURFACING - NORTH,06/26/2014,MFT Cook County Sales Tax - 718,06/25/2014,06/24/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1455-13427.pdf),
1485-13464,849065,WRIGHT AUTOMOTIVE INC.,72378.00,FLEXIBLE-FUEL VEHICLES / HYBRID ELECTRIC VEHICLES,06/26/2014,COUNTYWIDE,06/20/2014,06/19/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1485-13464.pdf),
1428-13429,838016,"D. CONSTRUCTION, INC AND FIRST MIDWEST B",1785391.00,PAVEMENT RESURFACING EHANCEMENT PROGRAM - SOUTH 2014,06/27/2014,1500.COUNTY HIGHWAY DEPARTMENT,06/25/2014,06/24/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1428-13429.pdf),
1450-13267,93172,TRI-ANGLE FABRICATION & BODY CO,,EMERGENCY RESPONSE VEHICLES,06/27/2014,1265.EMERGENCY MANAGEMENT AGENCY,06/27/2014,06/26/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1450-13267.pdf),
1453-13339,853514,BLACK DOG CORPORATION,388123.04,BREAD AND PASTRY GOODS,06/27/2014,1440.JUVENILE TEMPORARY DETENT.CNTR,07/01/2014,06/30/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1453-13339.pdf),
1453-13367,853514,BLACK DOG CORPORATION,379817.08,FRUIT JUICES,06/27/2014,1440.JUVENILE TEMPORARY DETENT.CNTR,07/01/2014,06/30/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1453-13367.pdf),
1453-13382,853514,BLACK DOG CORPORATION,352255.00,MILK PRODUCTS,06/27/2014,1440.JUVENILE TEMPORARY DETENT.CNTR,07/01/2014,06/30/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1453-13382.pdf),
1484-13343,809124,CHRISTY WEBBER & COMPANY,1000.00,LANDSCAPING SERVICES,06/27/2014,1200.DEPT. OF FACILITIES/MGMT,07/01/2014,06/30/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1484-13343.pdf),
1490-13727,854011,SOUTH-SOUTHWEST SUBURBAN UW,716400.00,YOUTH WORKFORCE PROGRAM,06/27/2014,1205.JUDICIAL ADVISORY COUNCIL,06/01/2014,08/30/2014,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1490-13727.pdf),
13-53-063,759226,KEEFE COMMISSARY NETWORK LLC,,COMMISSARY SERVICES,06/30/2014,1239.DEPARTMENT OF CORRECTIONS,08/01/2014,07/31/2015,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/13-53-063-A1.pdf),
1428-13407,92279,PREFORM TRAFFIC CONTROL SYSTEMS LTD,1987400.00,STRIPING INTERSECTIONS AND CROSSWALKS,06/30/2014,1500.COUNTY HIGHWAY DEPARTMENT,06/30/2014,06/29/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1428-13407.pdf),
1428-13529,726280,PLOTE CONSTRUCTION INC,1069378.00,GROUP 2 - 2014 - EDENS EXPRESSWAY FRONTAGE ROAD,06/30/2014,1500.COUNTY HIGHWAY DEPARTMENT,06/25/2014,10/31/2014,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1428-13529.pdf),
1411-13432,833923,ROESCH FORD,352072.00,"TOW TRUCKS, 2014 FORD F-650, REGULAR CAB XL WITH TOW BED AND 2014 FORD F-750, REGULAR CAB XL WITH TOW BED",07/02/2014,1210.OFFICE OF THE SHERIFF,06/25/2014,06/24/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1411-13432.pdf),
1455-13422,655050,COLLINS ENGINEERS  INC,4400000.00,CONSULTANT SEVICES-CE,07/02/2014,1500.COUNTY HIGHWAY DEPARTMENT,06/25/2014,06/24/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1455-13422.pdf),
1441-13635,837533,DATA MANAGEMENT INC,5489.00,RENEWAL TIME CLOCKS,07/02/2014,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1441-13635.pdf),
1411-13443,828881,"SUTTON FORD, INC.",251346.00,"2015 FORD TRANSIT WAGON, MODEL X2Z",07/03/2014,1210.OFFICE OF THE SHERIFF,06/25/2014,06/24/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1411-13443.pdf),
1435-13491,697193,VALDES ENTERPRISES INC,497630.00,FREON/REFRIGERANT,07/03/2014,1200.DEPT. OF FACILITIES/MGMT,07/01/2014,06/30/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1435-13491.pdf),
1441-13275,83785,COMPUTRUST SOFTWARE CORP,9498.00,EDUCATIONAL SERVICES,07/03/2014,1390.PUBLIC ADMINISTRATOR,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1441-13275.pdf),
1441-13769,844223,JACKSON LEWIS LLP,453705.00,COUNTYWIDE LABOR & EPLMT CNSLT,07/03/2014,CC Physical Plant & Spl Proj - 720,06/18/2014,05/15/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1441-13769.pdf),
1485-13522,855109,IBM CORPORATION,19996.00,SOFTWARE MAINTENANCE,07/03/2014,1040.COUNTY ASSESSOR,06/30/2014,06/29/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1485-13522.pdf),
12-53-037,837264,FYI AND ASSOCIATES INC,39046.75,JANITORIAL SERVICES,07/10/2014,1532.ADULT PROBATION SERVICE FEE,06/01/2014,05/31/2015,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/12-53-037-A1.pdf),
1481-13735,91514,TODAY'S BUSINESS SOLUTIONS INC,1895.00,"9900 COIN, BILL & CARD TOWER",07/11/2014,1530.COUNTY LAW LIBRARY,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1481-13735.pdf),
1485-13514,91213,"KRELOFF, MICHAEL",79975.00,PROFESSIONAL SERVICES,07/11/2014,1524.COUNTY CLERK ELECTION DIV.FUND,06/17/2014,06/16/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1485-13514.pdf),
1441-13621,853408,"MAEDER, TIMOTHY/AFIRE DESIGN",50000.00,GRAPHICS DESIGN,07/14/2014,1534.TREASURER TAX SALES AUTOMATION,07/01/2014,06/30/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1441-13621.pdf),
1441-13235,781083,ACS GOVERNMENT RECORD SERVICES INC,85000.00,GOVERNMENT RECORDS MANAGEMENT,07/14/2014,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1441-13235.pdf),
1426-13766,817224,DS SERVICES OF AMERICA,14103.00,BOTTLED WATER - OCJ,07/16/2014,1310.OFFICE OF THE CHIEF JUDGE,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1426-13766.pdf),
1426-13820,817224,DS SERVICES OF AMERICA,2092.00,5 GALLON SPRING WATER,07/21/2014,1130.RECORDER OF DEEDS,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1426-13820.pdf),
1426-13839,87977,COSTAR GROUP COMPS INC,8976.00,REAL ESTATE TAX SERVICE,07/21/2014,1007.REVENUE,04/01/2014,11/30/2014,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1426-13839.pdf),
1453-13385A,745847,HOUSING AUTHORITY OF COOK COUNTY,100000.00,RECIDIVISM REDUCTION GRANT,07/21/2014,1205.JUDICIAL ADVISORY COUNCIL,07/15/2014,07/14/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1453-13385A.pdf),
1453-13385B,846969,INSPIRATION CORPORATION,100000.00,RECIDIVISM REDUCTION GRANT,07/21/2014,1205.JUDICIAL ADVISORY COUNCIL,07/15/2014,07/14/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1453-13385B.pdf),
1453-13385C,81571,YOUTH OUTREACH SERVICES,97864.00,RECIDIVISM REDUCTION GRANT,07/21/2014,1205.JUDICIAL ADVISORY COUNCIL,07/15/2014,07/14/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1453-13385C.pdf),
1453-13385D,847199,WESTCARE ILLINOIS INC,100000.00,RECIDIVISM REDUCTION GRANT,07/21/2014,1205.JUDICIAL ADVISORY COUNCIL,07/15/2014,07/14/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1453-13385D.pdf),
1453-13385E,93835,WESTSIDE HEALTH AUTHORITY,100000.00,RECIDIVISM REDUCTION GRANT,07/21/2014,1205.JUDICIAL ADVISORY COUNCIL,07/15/2014,07/14/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1453-13385E.pdf),
1453-13391A,803525,ST. LEONARDS'S MINISTRIES,24000.00,RECIDIVISM REDUCTION GRANT,07/21/2014,1205.JUDICIAL ADVISORY COUNCIL,07/15/2014,07/14/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1453-13391A.pdf),
1453-13391B,854645,CHICAGO LAWYERS COMMITTEE FOR CIVIL RIGH,24000.00,RECIDIVISM REDUCTION GRANT,07/21/2014,1205.JUDICIAL ADVISORY COUNCIL,07/15/2014,07/14/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1453-13391B.pdf),
1453-13391C,745251,UNIVERSAL FAMILY CONNECTION INC,24000.00,RECIDIVISM REDUCTION GRANT,07/21/2014,1205.JUDICIAL ADVISORY COUNCIL,07/15/2014,07/14/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1453-13391C.pdf),
1453-13391D,854641,CHICAGO-LAWNDALE AMACHI MENTORING PROGRA,24000.00,RECIDIVISM REDUCTION GRANT,07/21/2014,1205.JUDICIAL ADVISORY COUNCIL,07/15/2014,07/14/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1453-13391D.pdf),
1453-13391E,854718,SPANISH ACTION COMMITEE OF CHGO,24000.00,RECIDIVISM REDUCTION GRANT,07/21/2014,1205.JUDICIAL ADVISORY COUNCIL,07/15/2014,07/14/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1453-13391E.pdf),
1453-13396A,854638,NORTHWEST MIDDLE SCHOOL,10000.00,RECIDIVISM REDUCTION GRANT,07/21/2014,1205.JUDICIAL ADVISORY COUNCIL,07/15/2014,07/14/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1453-13396A.pdf),
1453-13396B,779097,BEHAVIORAL SERVICES CENTER,10000.00,RECIDIVISM REDUCTION GRANT,07/21/2014,1205.JUDICIAL ADVISORY COUNCIL,07/14/2015,07/15/2014,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1453-13396B.pdf),
1453-13396C,830828,ORGANIZING NEIGHBORHOODS FOR EQUALITY NO,9998.00,RECIDIVISM REDUCTION GRANT,07/21/2014,1205.JUDICIAL ADVISORY COUNCIL,07/15/2014,07/14/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1453-13396C.pdf),
1453-13396D,854640,FIRST DEFENSE LEAL AID,10000.00,RECIDIVISM REDUCTION GRANT,07/21/2014,1205.JUDICIAL ADVISORY COUNCIL,07/15/2014,07/14/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1453-13396D.pdf),
1453-13396E,854636,GREATER AUBURN GRESHAM DEVELOPMENT CORP.,10000.00,RECIDIVISM REDUCTION GRANT,07/21/2014,1205.JUDICIAL ADVISORY COUNCIL,07/15/2014,07/14/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1453-13396E.pdf),
