DOC_CD,DOC_DEPT_CD,DOC_ID,DOC_VERS_NO,DOC_DSCR,CONTRACT_SYNOPSIS,CONTRACT_CONTACT_NM,CONTRACT_CONTACT_VOICE_PH_NO,CONTRACT_CONTACT_EMAIL_AD,MA_PRCH_LMT_AM,MA_ITD_ORD_AM,MA_DO_RFED_AM,EFBGN_DT,EFEND_DT,GNRC_PO_RPT_1,RPT_DSCR,BRD_AWD_DT,BRD_AWD_NO,CAT_DSCR,DOC_VEND_LN_NO,VEND_CUST_CD,LGL_NM,ALIAS_NM,SO_DOC_CD,SO_DOC_DEPT_CD,SO_DOC_ID,TODAY,ROW_KEY
MA,2200,GA190000052,1,HYDRANT PARTS / FIRE HOSES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,120000,1793.07,0,05/31/2019,05/30/2021,10,Competitive Acquisition,,ADMIN,Commodities (Goods),1,VC0000100932,TECHLINE PIPE LP,TECHLINE PIPE,IFB,2200,OXV1021,09/23/2019,MA2200GA1900000521VC0000100932
MA,2200,GA190000058,1,ANHYDROUS AMMONIA,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,640000,24100,0,08/23/2019,08/22/2021,10,Competitive Acquisition,08/24/0019,41,Commodities (Goods),1,V00000936846,SHRIEVE CHEMICAL COMPANY,N/A,IFB,2200,GLB1020REBID,09/23/2019,MA2200GA1900000581V00000936846
MA,2200,GA190000060,1,LIQUID PHOSPHATE,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,1100000,0,0,08/19/2019,08/18/2021,10,Competitive Acquisition,08/10/0019,48,Commodities (Goods),1,CAR8308411,CARUS CORPORATION,N/A,IFB,2200,GLB1021,09/23/2019,MA2200GA1900000601CAR8308411
MA,2200,GA190000075,1,FILTER SAND AND FILTER SUPPORT GRAVEL,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,81912,0,0,09/10/2019,09/09/2021,10,Competitive Acquisition,,ADMIN,Commodities (Goods),1,VS0000021054,SNR TECHNOLOGIES,N/A,IFB,2200,OXV1025,09/23/2019,MA2200GA1900000751VS0000021054
MA,2200,NA170000201,1,CHROMATOGRAPHY AND CHROMATOGRAPH PREV. MAINTENANCE & REPAIR,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,30000,0,0,08/01/2017,07/31/2020,10,Competitive Acquisition,,ADMIN,Non-Professional Services,1,FUL8316596,FULL SPECTRUM ANALYTICS INC,N/A,RFQ,2200,GLB0406,09/23/2019,MA2200NA1700002011FUL8316596
MA,2200,NA180000133,2,MAINTENANCE AND REPAIR OF AGILENT LAB EQUIPMENT,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,53539.5,32291.39,32136.39,06/08/2018,06/07/2020,10,Competitive Acquisition,,ADMIN,Non-Professional Services,1,AGI7147955,AGILENT TECHNOLOGIES INC,AGILENT TECHNOLOGIES,IFB,2200,JRH1001,09/23/2019,MA2200NA1800001332AGI7147955
MA,2200,NA180000190,1,"HYDROGEN PEROXIDE SOLUTION, FEED SYSTEM, MAINTENANCE",,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,600000,268652.92,147628.64,10/01/2018,09/30/2020,10,Competitive Acquisition,09/22/0018,31,Non-Professional Services,1,VS0000026443,"US PEROXIDE, LLC",USP TECHNOLOGIES,IFB,2200,SLW1004,09/23/2019,MA2200NA1800001901VS0000026443
MA,2200,NA190000025,1,BIOSOLIDS BENEFICIAL REUSE,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,9650000,975431.26,892487.3,11/01/2018,10/31/2023,10,Competitive Acquisition,11/03/0018,20,Non-Professional Services,1,VS0000015918,"SYNAGRO OF TEXAS-CDR, INC.",SYNAGRO OF TEXAS-CDR,IFB,2200,CDL2003REBID2,09/23/2019,MA2200NA1900000251VS0000015918
MA,2200,NA190000039,2,"SMOKE TESTING, MANHOLE & LATERAL TV INSPECTIONS OF SEWER",,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,420000,41728,0,03/08/2019,03/07/2022,10,Competitive Acquisition,12/01/0018,24,Non-Professional Services,1,VS0000032432,"INTERRA HYDRO, INC.",N/A,IFB,2200,SLW1008,09/23/2019,MA2200NA1900000392VS0000032432
MA,2200,NA190000062,2,FIRE PANEL MAINTENANCE AND SERVICES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,200000,14040,10288,02/04/2019,02/03/2021,10,Competitive Acquisition,02/02/0019,23,Non-Professional Services,1,V00000902240,"FIRETRON, INC",N/A,IFB,2200,GLB1008,09/23/2019,MA2200NA1900000622V00000902240
MA,2200,NA190000066,2,MAINTENANCE AND REPAIR OF AUTOCLAVE LAB EQUIPMENT,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,27000,10035,10035,01/30/2019,01/29/2021,10,Competitive Acquisition,,ADMIN,Non-Professional Services,1,VS0000015437,MCA SERVICES LLC,ABBOTT MEDICAL SERVICES,IFB,2200,PAT1005,09/23/2019,MA2200NA1900000662VS0000015437
MA,2200,NA190000126,1,MAGNESIUM HYDROXIDE SLURRY & EQUIPMENT,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,14200000,1768000,605459.41,04/30/2019,04/29/2021,10,Competitive Acquisition,04/27/0019,18,Non-Professional Services,1,PRE8302995,PREMIER MAGNESIA LLC,N/A,IFB,2200,SLW1001REBID,09/23/2019,MA2200NA1900001261PRE8302995
MA,2200,NA190000134,2,JUNIPER CUTTING SERVICES AT THE WATER PROTECTION LANDS,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,200000,0,0,05/23/2019,05/23/2021,10,Competitive Acquisition,05/25/0019,21,Non-Professional Services,1,V00000906421,"SUMMITT FORESTS, INC.",N/A,IFB,2200,DCM1001,09/23/2019,MA2200NA1900001342V00000906421
MA,2200,NA190000145,1,"INSPECTION, CLEANING, AND CERTIFICATION OF CHLORINE TANKS",,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,300000,0,0,06/29/2019,06/28/2021,10,Competitive Acquisition,05/22/0019,ADMIN,Non-Professional Services,1,SPE8316792,SPECIALIZED RESPONSE SOLUTIONS,N/A,IFB,2200,PAT1014,09/23/2019,MA2200NA1900001451SPE8316792
MA,2200,NA190000170,2,FOR AUSTIN WATER AND AUSTIN ENERGY,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,18180,4700,4700,07/01/2019,06/30/2021,10,Competitive Acquisition,,ADMIN,Non-Professional Services,1,HUT7021200,HUTHER & ASSOCIATES INC,N/A,IFB,2200,JSB1000REBID,09/23/2019,MA2200NA1900001702HUT7021200
MA,2400,GA150000056,11,"SQUARE STEEL POSTS, ANCHORS AND FASTENERS",,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,700000,384041.5,345117,04/08/2015,04/07/2020,10,Competitive Acquisition,03/28/0015,20,Commodities (Goods),1,ALL0142000,ALLIED TUBE & CONDUIT CORPORATION,ALLIED TUBE & CONDUIT,IFB,2400,GLB0017,09/23/2019,MA2400GA15000005611ALL0142000
MA,2400,GA150000056,11,"SQUARE STEEL POSTS, ANCHORS AND FASTENERS",,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,700000,384041.5,345117,04/08/2015,04/07/2020,10,Competitive Acquisition,03/28/0015,20,Commodities (Goods),2,V00000957151,"ATKORE INTERNATIONAL, INC.",ATKORE INTERNATIONAL,IFB,2400,GLB0017,09/23/2019,MA2400GA15000005611V00000957151
MA,2400,GA180000026,4,DECALS FOR PARKING METERS,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,16805,3109.7,793.7,01/25/2018,01/24/2020,10,Competitive Acquisition,01/27/0018,ADMIN,Commodities (Goods),1,V00000950197,IMAGE WORKS MANUFACTURING INC.,BORDEN DECAL,RFQ,2400,JRH0004,09/23/2019,MA2400GA1800000264V00000950197
MA,2400,GA180000076,2,LED INCANDESCENT TRAFFIC SIGNAL LAMPS,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,214300,46230,41550,10/15/2018,10/14/2020,10,Competitive Acquisition,10/06/0018,027,Commodities (Goods),1,CON1261250,CONSOLIDATED TRAFFIC CONTROLS INC,N/A,IFB,2400,MDP0263,09/23/2019,MA2400GA1800000762CON1261250
MA,2400,GA180000077,2,TRAFFIC PAINT AND PAVEMENT MARKING MATERIAL,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,1400000,154376.25,154376.25,10/18/2018,10/17/2021,10,Competitive Acquisition,10/20/0018,32,Commodities (Goods),1,ENN7077715,"ENNIS-FLINT, INC.",ENNIS PAINT INC OR ENNIS TRAFFIC SAFETY SOLUTIONS,IFB,2400,MDP1000,09/23/2019,MA2400GA1800000772ENN7077715
MA,2400,GA190000015,1,PREFABRICATED PUBLIC RESTROOMS,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,630000,358987.71,0,01/04/2019,01/03/2021,10,Competitive Acquisition,12/15/0018,37,Commodities (Goods),1,V00000925032,WHOLESALE & MFR PVF INC,N/A,IFB,2400,SMW1000,09/23/2019,MA2400GA1900000151V00000925032
MA,2400,GA190000035,1,SIAMESE CABLE AND CONNECTORS,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,225000,10200,0,03/12/2019,03/11/2020,10,Competitive Acquisition,03/09/0019,22,Commodities (Goods),1,VS0000015848,TRILLIUM DEVELOPMENT LTD CO,TRILLIUM WIRE AND CABLE LLC,IFB,2400,PAT1003REBID,09/23/2019,MA2400GA1900000351VS0000015848
MA,2400,GA190000051,3,PELCO SIGNAL HARDWARE,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,440448,14572,14572,06/21/2019,06/20/2021,10,Competitive Acquisition,06/21/0019,55,Commodities (Goods),1,CON1261250,CONSOLIDATED TRAFFIC CONTROLS INC,N/A,IFB,2400,BJT1000,09/23/2019,MA2400GA1900000513CON1261250
MA,2400,GA190000061,1,PREFORMED THERMOPLASTIC PAVEMENT MARKING MATERIALS,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,590000,4399.5,765,08/09/2019,08/08/2022,10,Competitive Acquisition,08/10/0019,58,Commodities (Goods),1,ENN7077715,"ENNIS-FLINT, INC.",ENNIS PAINT INC OR ENNIS TRAFFIC SAFETY SOLUTIONS,IFB,2400,BJT1002,09/23/2019,MA2400GA1900000611ENN7077715
MA,2400,GA190000077,1,VEHICLE PERMITS AND DECALS,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,40612,0,0,09/10/2019,09/09/2021,10,Competitive Acquisition,,ADMIN,Commodities (Goods),1,VS0000009676,PLASTICARDS INC.,RAINBOW PRINTING,IFB,2400,DTB1004REBID,09/23/2019,MA2400GA1900000771VS0000009676
MA,4400,NA190000051,1,GRAPHIC DESIGN / CREATIVE SERVICES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,50000.01,7147.5,7147.5,01/25/2019,01/24/2020,10,Competitive Acquisition,,ADMIN,Non-Professional Services,1,MAT3069500,SHERRY MATTHEWS INC,N/A,RFP,4400,MLH3000,09/23/2019,MA4400NA1900000511MAT3069500
MA,4700,NG190000011,2,AUSTIN RESOURCE CENTER FOR THE HOMELESS SHELTER OPERATIONS,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,7500000,1524529,841508.77,04/01/2019,09/30/2020,10,Competitive Acquisition,02/02/0019,28,Non-Professional Services,1,CAP7135295,FRONT STEPS INC,FRONT STEPS,RFQS,4700,EAD4000REBID,09/23/2019,MA4700NG1900000112CAP7135295
MA,5300,GA190000063,1,OFFICE FURNITURE RENTAL,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,157520,40897,12450.12,07/29/2019,07/28/2020,10,Competitive Acquisition,06/22/0019,68,Commodities (Goods),1,V00000959844,TEXAS OFFICE PRODUCTS AND SUPPLY LLC,TOPS; TOPS TEXAS; TEXAS OFFICE PRODUCTS & SUPPLY,IFB,5300,MZJ1000,09/23/2019,MA5300GA1900000631V00000959844
MA,5300,NA180000082,2,CUSTOMER SATISFACTION SURVEY AND BENCH-MARKING ANALYSIS,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,50000,25000,12500,04/02/2018,04/01/2020,10,Competitive Acquisition,,ADMIN,Non-Professional Services,1,VS0000020115,ETC INSTITUTE,ETC INSTITUTE,RFP,5300,JRD0317,09/23/2019,MA5300NA1800000822VS0000020115
MA,5300,NA190000027,3,TREE RELOCATION AND CARE SERVICES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,550000,550000,373301.24,11/29/2018,02/05/2020,10,Competitive Acquisition,11/03/0018,21,Non-Professional Services,1,ENV8303772,ENVIRONMENTAL TREE & DESIGN,N/A,RFP,5300,JRD3003REBID,09/23/2019,MA5300NA1900000273ENV8303772
MA,5500,NA180000105,2,SMALL BUSINESS COACHING AND TECHNICAL ASSISTANCE,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,159000,159000,60525,06/21/2018,06/20/2020,10,Competitive Acquisition,06/16/0018,40,Non-Professional Services,1,AUS7136415,PEOPLEFUND,N/A,RFP,5500,EAL0300,09/23/2019,MA5500NA1800001052AUS7136415
MA,5500,NA190000177,1,CONSULTING SERVICES FOR PLACE BASED DISTRICT DEVELOPMENT,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,149462.14,149462.14,0,08/23/2019,08/22/2020,10,Competitive Acquisition,08/24/0019,53,Non-Professional Services,1,ASA8322718,ASAKURA ROBINSON COMPANY L L C,N/A,RFP,5500,RJZ3000,09/23/2019,MA5500NA1900001771ASA8322718
MA,5600,17062300025,9,MOBILE APP FOR CUSTOMERS TO TRACK THEIR WATER USAGE,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,511875,511875,511875,06/23/2017,06/22/2020,55,Pers / Prof / Plan Svcs (252),06/17/0017,50,Sole and Single Source,1,V00000924147,"DROPCOUNTR, INC.",DROPCOUNTR,RFP,5600,GAZ0100,09/23/2019,MA5600170623000259V00000924147
MA,5600,NA170000093,1,WIRELESS MESSAGING SYSTEM,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,3806755,730088.48,657065.95,03/31/2017,03/30/2022,80,Sole Source > $5000,03/25/0017,31,Sole and Single Source,1,VC0000100379,SPOK INC,N/A,RFP,5600,PAX0139,09/23/2019,MA5600NA1700000931VC0000100379
MA,5600,NA170000146,2,IT CONSULTING SERVICES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,2400000,1200478.71,1122235.52,05/04/2019,05/03/2020,10,Competitive Acquisition,05/06/0017,16,Non-Professional Services,1,V00000904394,"THE JW GROUP, INC.",N/A,RFP,5600,PAX0136,09/23/2019,MA5600NA1700001462V00000904394
MA,5600,NA170000217,2,RADIO FREQUENCY ENGINEERING SUPPORT,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,500000,443871.29,400735.26,09/14/2017,09/13/2020,10,Competitive Acquisition,09/02/0017,37,Non-Professional Services,1,V00000945117,BOOZ ALLEN HAMILTON INC.,N/A,RFQS,5600,PAX0503,09/23/2019,MA5600NA1700002172V00000945117
MA,5600,NA170000223,2,RECRUITING ONLINE SOLUTION,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,141968,108362,66008,08/31/2017,08/30/2022,10,Competitive Acquisition,,ADMIN,Non-Professional Services,1,V00000945002,ICIMS INC.,"ICIMS, INC.",RFP,5600,JCN0301,09/23/2019,MA5600NA1700002232V00000945002
MA,5600,NA180000076,1,CONTRACT MANAGEMENT & DEVELOPMENT SYSTEM,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,134600,134600,98200,03/22/2018,03/21/2021,10,Competitive Acquisition,03/24/0018,29,Non-Professional Services,1,V00000925544,DULLES TECHNOLOGY PARTNERS INC,N/A,RFP,9100,ELF0302,09/23/2019,MA5600NA1800000761V00000925544
MA,5800,NA170000204,2,RETIREE DENTAL PPO PLAN,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,6893349,3707943.9,3707943.9,01/01/2018,12/31/2020,10,Competitive Acquisition,09/02/0017,42,Non-Professional Services,1,CIG8321685,CIGNA HEALTH AND LIFE INSURANCE COMPANY,CIGNA CORPORATION,RFP,5800,EAD0131,09/23/2019,MA5800NA1700002042CIG8321685
MA,5800,NA180000072,2,SIGN LANGUAGE INTERPRETERS,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,543000,218271.5,186080,03/08/2018,03/08/2021,10,Competitive Acquisition,03/10/0018,6,Non-Professional Services,1,V00000913343,COMMUNICATION BY HAND LLC,N/A,RFP,5800,MHJ0116,09/23/2019,MA5800NA1800000722V00000913343
MA,5800,NA180000125,2,DRUG & ALCOHOL TESTING SERVICES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,176760,42838,35838,08/01/2018,07/31/2021,10,Competitive Acquisition,,ADMIN,Non-Professional Services,1,OCC6120410,OCCUPATIONAL HEALTH CENTERS OF THE SOUTHWEST PA,CONCENTRA MEDICAL CENTERS,RFP,5800,EAD0134,09/23/2019,MA5800NA1800001252OCC6120410
MA,5800,NA180000165,2,AUSTIN FIRE DEPARTMENT PROMOTIONAL TESTING,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,175000,52750,52750,10/18/2018,10/17/2019,10,Competitive Acquisition,10/20/0018,31,Non-Professional Services,1,VS0000004616,"MORRIS & MCDANIEL, INC.",N/A,RFP,5800,EAD3000,09/23/2019,MA5800NA1800001652VS0000004616
MA,5800,NA180000183,1,"MEDICAL, STOP-LOSS, PHARMACY, AND OPTIONAL SERVICES",,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,47428000,3514540.01,2119064.03,08/27/2018,08/26/2021,10,Competitive Acquisition,08/11/0018,52,Non-Professional Services,1,HEA8304244,HEALTH CARE SERVICE CORPORATION,BLUE CROSS BLUE SHIELD OF TEXAS,RFP,5800,RWS0504,09/23/2019,MA5800NA1800001831HEA8304244
MA,5800,NA180000196,2,COMMERCIAL CRIME INSURANCE,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,25000,23535,23535,10/20/2018,10/19/2019,10,Competitive Acquisition,,ADMIN,Non-Professional Services,1,MAR8309722,MARSH USA INC,MARSH USA OR MARSH WORTHAM,RFP,5800,ELL3000,09/23/2019,MA5800NA1800001962MAR8309722
MA,5800,NA190000054,1,AE EXCESS LIABILITY,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,1322206,1322205.15,1322205.15,12/17/2018,12/16/2019,10,Competitive Acquisition,12/15/0018,27,Non-Professional Services,1,MAR8309722,MARSH USA INC,MARSH USA OR MARSH WORTHAM,RFP,5800,MHJ3006,09/23/2019,MA5800NA1900000541MAR8309722
MA,5900,NA190000190,1,CITYWIDE SOCIAL MEDIA ARCHIVING,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,74421,0,0,10/01/2019,09/30/2022,10,Competitive Acquisition,,ADMIN,Non-Professional Services,1,V00000914902,"ARCHIVESOCIAL, INC",ARCHIVESOCIAL,RFP,5900,ELF3001,09/23/2019,MA5900NA1900001901V00000914902
MA,5900,NA190000202,1,LANGUAGE INTERPRETATION SERVICES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,594500,0,0,09/04/2019,09/03/2021,10,Competitive Acquisition,08/24/0019,58,Non-Professional Services,10,AME7039605,SANDRA M CHADA,AMERICAN INTERNATIONAL TRANSLATORS,RFQS,5900,LNH4000,09/23/2019,MA5900NA1900002021AME7039605
MA,5900,NA190000202,1,LANGUAGE INTERPRETATION SERVICES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,594500,0,0,09/04/2019,09/03/2021,10,Competitive Acquisition,08/24/0019,58,Non-Professional Services,9,CAR0996000,CARITAS OF AUSTIN,N/A,RFQS,5900,LNH4000,09/23/2019,MA5900NA1900002021CAR0996000
MA,5900,NA190000202,1,LANGUAGE INTERPRETATION SERVICES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,594500,0,0,09/04/2019,09/03/2021,10,Competitive Acquisition,08/24/0019,58,Non-Professional Services,3,LAN8306334,LANGUAGE LINE SERVICES INC,LANGUAGE LINE SERVICES OR LANGUAGELINE SOLUTIONS,RFQS,5900,LNH4000,09/23/2019,MA5900NA1900002021LAN8306334
MA,5900,NA190000202,1,LANGUAGE INTERPRETATION SERVICES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,594500,0,0,09/04/2019,09/03/2021,10,Competitive Acquisition,08/24/0019,58,Non-Professional Services,4,MAS8321573,MASTERWORD SERVICES INC,N/A,RFQS,5900,LNH4000,09/23/2019,MA5900NA1900002021MAS8321573
MA,5900,NA190000202,1,LANGUAGE INTERPRETATION SERVICES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,594500,0,0,09/04/2019,09/03/2021,10,Competitive Acquisition,08/24/0019,58,Non-Professional Services,2,V00000901665,INTERPRETERS UNLIMITED,N/A,RFQS,5900,LNH4000,09/23/2019,MA5900NA1900002021V00000901665
MA,5900,NA190000202,1,LANGUAGE INTERPRETATION SERVICES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,594500,0,0,09/04/2019,09/03/2021,10,Competitive Acquisition,08/24/0019,58,Non-Professional Services,7,V00000904744,VOIANCE LANGUAGE SERVICES LLC,N/A,RFQS,5900,LNH4000,09/23/2019,MA5900NA1900002021V00000904744
MA,5900,NA190000202,1,LANGUAGE INTERPRETATION SERVICES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,594500,0,0,09/04/2019,09/03/2021,10,Competitive Acquisition,08/24/0019,58,Non-Professional Services,1,V00000909358,"CATHOLIC CHARITIES, DIOCESE OF FORT WORTH INC",TRANSLATION AND INTERPRETATION NETWORK,RFQS,5900,LNH4000,09/23/2019,MA5900NA1900002021V00000909358
MA,5900,NA190000202,1,LANGUAGE INTERPRETATION SERVICES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,594500,0,0,09/04/2019,09/03/2021,10,Competitive Acquisition,08/24/0019,58,Non-Professional Services,5,V00000928599,SUSANA PIMIENTO CHAMORRO,LANGUAGE ACCESS AUSTIN,RFQS,5900,LNH4000,09/23/2019,MA5900NA1900002021V00000928599
MA,5900,NA190000202,1,LANGUAGE INTERPRETATION SERVICES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,594500,0,0,09/04/2019,09/03/2021,10,Competitive Acquisition,08/24/0019,58,Non-Professional Services,6,V00000946360,SHUN TONG,SHARON TONG,RFQS,5900,LNH4000,09/23/2019,MA5900NA1900002021V00000946360
MA,5900,NA190000202,1,LANGUAGE INTERPRETATION SERVICES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,594500,0,0,09/04/2019,09/03/2021,10,Competitive Acquisition,08/24/0019,58,Non-Professional Services,11,V00000950063,VUNG DOKHEN CING,N/A,RFQS,5900,LNH4000,09/23/2019,MA5900NA1900002021V00000950063
MA,5900,NA190000202,1,LANGUAGE INTERPRETATION SERVICES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,594500,0,0,09/04/2019,09/03/2021,10,Competitive Acquisition,08/24/0019,58,Non-Professional Services,8,V00000959628,JACQUELINE MANCILLA,N/A,RFQS,5900,LNH4000,09/23/2019,MA5900NA1900002021V00000959628
MA,6100,CA130000001,6,LOCAL AREA TRAFFIC MANAGEMENT & INSTERSECTION IMPROVEMENTS,,Contract and Land Management Department,unknown,unknown,1847948.2,1410061.56,1346672.16,09/27/2015,09/26/2020,10,Competitive Acquisition,09/29/0012,13,Construction,1,MUN7143465,MUNIZ CONCRETE & CONTRACTING INC,N/A,IFB,6100,CLMC379,09/23/2019,MA6100CA1300000016MUN7143465
MA,6100,CA140000001,5,LOCAL AREA TRAFFIC MNGMNT & INTERSECTION IMPR. IDIQ B12,,Contract and Land Management Department,unknown,unknown,3459035,2956218.09,2627245.96,10/17/2013,09/30/2020,10,Competitive Acquisition,10/19/0013,6,Construction,1,MUN7143465,MUNIZ CONCRETE & CONTRACTING INC,N/A,IFB,6100,CLMC444,09/23/2019,MA6100CA1400000015MUN7143465
MA,6100,CA170000001,5,CHILLED WATER PIPING CONSTRUCTION IN THE RIGHT OF WAY IDIQ,,Capital Contracting Office,unknown,unknown,12000000,9190771.02,9179183.08,12/27/2017,12/27/2019,10,Competitive Acquisition,12/17/0016,4,Construction,1,V00000935745,"BILFINGER WESTCON, INC",BILFINGER TEPSCO INC,IFB,6100,CLMC606,09/23/2019,MA6100CA1700000015V00000935745
MA,6100,CA170000002,12,ABIA PARKING GARAGE AND ADMINISTRATION BUILDING,,Capital Contracting Office,unknown,unknown,229296459.81,229296459.81,194034962.58,12/22/2016,02/29/2020,15,Alt Proc Method (252),11/17/0018,3,Other Contracting,1,AUS8304190,AUSTIN COMMERCIAL L P,AUSTIN INDUSTRIES,RFQS,6100,CLMA018,09/23/2019,MA6100CA17000000212AUS8304190
MA,6100,CA170000003,6,WW LINE RENEWAL & SPOT REHAB SVC- 2017-2019 IDIQ,,Capital Contracting Office,unknown,unknown,10100000,10002718.06,8907665.34,12/26/2017,12/02/2019,10,Competitive Acquisition,01/28/0017,17,Construction,1,SAN8316404,SANTA CLARA CONSTRUCTION LTD,N/A,IFB,6100,CLMC619,09/23/2019,MA6100CA1700000036SAN8316404
MA,6100,CA170000005,5,WATER SERVICES REPLACEMENT PROGRAM IDIQ,,Capital Contracting Office,unknown,unknown,4000000,2991486.33,2568900.77,02/10/2017,08/20/2020,10,Competitive Acquisition,01/28/0017,8,Construction,1,FAC8317993,FACILITIES REHABILITATION INC,N/A,IFB,6100,CLMC621,09/23/2019,MA6100CA1700000055FAC8317993
MA,6100,CA170000014,3,N. LAMAR BLVD AND BURNET RD CORRIDOR IMPV SIDEWALKS-IDIQ,,Capital Contracting Office,unknown,unknown,6000000,2126383.17,368582.39,09/15/2017,03/14/2020,10,Competitive Acquisition,09/02/0017,50,Construction,1,MUN7143465,MUNIZ CONCRETE & CONTRACTING INC,N/A,IFB,6100,CLMC638,09/23/2019,MA6100CA1700000143MUN7143465
MA,6100,CA170000015,6,MISCELLANEOUS STREET OVERLAY IDIQ PROJECT,,Capital Contracting Office,unknown,unknown,6008304.46,5919330.39,3467390.01,08/12/2019,08/11/2020,10,Competitive Acquisition,09/02/0017,8,Construction,1,V00000907126,AUSTIN MATERIALS LLC,RAMMING PAVING COMPANY,IFB,6100,CLMC663,09/23/2019,MA6100CA1700000156V00000907126
MA,6100,CA180000001,4,CITYWIDE STORMWATER INFRASTRUCTURE MAINTENANCE PROJECTS IDIQ,,Capital Contracting Office,unknown,unknown,6000000,3315992.49,3107879.15,07/15/2019,07/14/2020,10,Competitive Acquisition,09/30/0017,14,Construction,1,SAN8316404,SANTA CLARA CONSTRUCTION LTD,N/A,IFB,6100,CLMC661,09/23/2019,MA6100CA1800000014SAN8316404
