Type of Service,Aggregation Level,State/ Territory,County,Number of Fee-for-Service Beneficiaries,Number of Providers,Average Number of Users per Provider,Percentage of Users out of FFS Beneficiaries,Average Number of Providers per County,Moratorium State/County,Number of Fee-for-Service Beneficiaries Colors - Single Color Scale,Number of Fee-for-Service Beneficiaries Colors - Dual Color Scale,Number of Fee-for-Service Beneficiaries Description,Number of Providers Colors - Single Color Scale,Number of Providers Colors - Dual Color Scale,Number of Providers Description,Average Number of Users per Provider Colors - Single Color Scale,Average Number of Users per Provider Colors - Dual Color Scale,Average Number of Users per Provider Description,Percentage of Users out of FFS Beneficiaries Colors - Single Color Scale,Percentage of Users out of FFS Beneficiaries Colors - Dual Color Scale,Percentage of Users out of FFS Beneficiaries Description,Average Number of Providers per County Colors - Single Color Scale,Average Number of Providers per County Colors - Dual Color Scale,Average Number of Providers per County Description
Home Health,COUNTY,NC,Franklin,7867,10,60.2,7.7%,10,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,NC,Gaston,28498,10,295.5,10.4%,10,No,ORANGE 5,GREEN 5,"Extreme Values (More than 24,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 5,GREEN 5,Extreme Values (More than 266 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,NC,Gates,1983,3,45.3,6.9%,3,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,NC,Graham,1661,1,58,3.5%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,NC,Granville,7662,8,62.4,6.5%,8,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,NC,Greene,2971,5,50,8.4%,5,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Guilford,44199,19,202.6,8.7%,19,No,ORANGE 5,GREEN 5,"Extreme Values (More than 24,277 Beneficiaries)",ORANGE 5,GREEN 5,Extreme Values (More than 16 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 5,GREEN 5,Extreme Values (More than 16 Providers)
Home Health,COUNTY,NC,Halifax,11386,4,164,5.8%,4,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Harnett,14778,15,82.4,8.4%,15,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,NC,Haywood,12362,3,251.7,6.1%,3,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,NC,Henderson,23596,6,271.5,6.9%,6,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 5,GREEN 5,Extreme Values (More than 266 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Hertford,4473,2,118.5,5.3%,2,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,NC,Hoke,4601,5,70.4,7.7%,5,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Hyde,895,1,50,5.6%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,NC,Iredell,21154,9,201.2,8.6%,9,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,NC,Jackson,6165,3,94,4.6%,3,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,NC,Johnston,22226,16,118.6,8.5%,16,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,NC,Jones,2002,3,49.3,7.4%,3,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,NC,Lee,8921,5,120.8,6.8%,5,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Lenoir,11921,5,219.4,9.2%,5,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Lincoln,11391,12,94,9.9%,12,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,NC,McDowell,7888,4,164.8,8.4%,4,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Macon,9313,2,222.5,4.8%,2,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,NC,Madison,4047,3,100,7.4%,3,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,NC,Martin,4968,4,92,7.4%,4,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Mecklenburg,85787,22,328.4,8.4%,22,No,ORANGE 5,GREEN 5,"Extreme Values (More than 24,277 Beneficiaries)",ORANGE 5,GREEN 5,Extreme Values (More than 16 Providers),ORANGE 5,GREEN 5,Extreme Values (More than 266 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 5,GREEN 5,Extreme Values (More than 16 Providers)
Home Health,COUNTY,NC,Mitchell,3234,3,77,7.1%,3,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,NC,Montgomery,3980,7,51.3,9%,7,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Moore,18802,4,295.5,6.3%,4,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 5,GREEN 5,Extreme Values (More than 266 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Nash,16456,8,146.6,7.1%,8,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,NC,New Hanover,34117,4,742.3,8.7%,4,No,ORANGE 5,GREEN 5,"Extreme Values (More than 24,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 5,GREEN 5,Extreme Values (More than 266 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Northampton,4616,2,163,7.1%,2,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,NC,Onslow,18692,8,184.6,7.9%,8,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,NC,Orange,12223,10,81.4,6.7%,10,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,NC,Pamlico,3386,2,69.5,4.1%,2,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,NC,Pasquotank,6826,2,218,6.4%,2,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,NC,Pender,9683,4,207,8.6%,4,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Perquimans,3276,2,79,4.8%,2,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,NC,Person,5705,5,83.6,7.3%,5,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Pitt,22436,7,249.1,7.8%,7,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Polk,4868,5,66.4,6.8%,5,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Randolph,14364,11,128.9,9.9%,11,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,NC,Richmond,9491,5,127.4,6.7%,5,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Robeson,18833,10,126.8,6.7%,10,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,NC,Rockingham,11106,7,142.4,9%,7,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Rowan,18311,12,147.9,9.7%,12,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,NC,Rutherford,13062,5,212.2,8.1%,5,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Sampson,10235,9,98.3,8.6%,9,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,NC,Scotland,6795,4,91.5,5.4%,4,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Stanly,9965,7,127.4,9%,7,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Stokes,4302,7,55.1,9%,7,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Surry,9169,8,98.6,8.6%,8,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,NC,Swain,3214,2,66.5,4.1%,2,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,NC,Transylvania,7406,5,121.6,8.2%,5,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Tyrrell,731,1,37,5.1%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,NC,Union,21836,9,202.4,8.3%,9,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,NC,Vance,7242,7,62,6%,7,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
