Posting Date,Contract Number,Description,Department,Recommended Action,Recommended Vendor,Contract Amount,MBE/WBE/DBE Participation,MBE/WBE/DBE type,Direct Participation,Indirect Participation,# of Bids Received,# of M/WBE Bids Received,CCA Concurs,Link
03/17/2017,1645-15174R,,,,,,"Star and Crest Decorating, Inc.",WBE (6),10,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170322-Intent_to_Award_EDS.pdf
03/17/2017,1684-15656,Vendor Managed Inventory Program,*Countywide--Multiple Departments - 001,Award,Genuine Parts Company dba NAPA,2610000.00,,DNA,,,DNA,DNA,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170322-Intent_to_Award_EDS.pdf
03/17/2017,1684-15656,,,,,,"Cesar's Equipment Co., Inc.",MBE (9),2,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170322-Intent_to_Award_EDS.pdf
03/17/2017,1684-15656,,,,,,Every Bloomin Industrial Supply,WBE (7),1,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170322-Intent_to_Award_EDS.pdf
03/17/2017,1684-15656,,,,,,Nak-Man Corp.,MBE (8),0.5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170322-Intent_to_Award_EDS.pdf
03/17/2017,1684-15656,,,,,,"Truck Tire Sales, Inc.",MBE (9),9,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170322-Intent_to_Award_EDS.pdf
03/17/2017,1684-15656,,,,,,"Quimex, Inc.",MBE (9),2.5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170322-Intent_to_Award_EDS.pdf
03/17/2017,1684-15656,,,,,,Inter-City Supply,MBE (6),2,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170322-Intent_to_Award_EDS.pdf
03/17/2017,1684-15656,,,,,,Black Dog Corp.,MBE (8),9,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170322-Intent_to_Award_EDS.pdf
03/17/2017,1684-15656,,,,,,"Progressive Industries, Inc.",WBE (7),1,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170322-Intent_to_Award_EDS.pdf
04/07/2017,1625-15681,Dry and Canned Goods,Juvenile Temporary Detent. Cntr - 440,Award,Black Dog Chicago Corporation dba Black Dog Corporation,3854203.34,Black Dog Corporation,MBE (8),90,,4,3,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170412-Intent_to_Award_EDS.pdf
04/07/2017,1625-15681,,,,,,Savan Source Inc,WBE (7),10,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170412-Intent_to_Award_EDS.pdf
04/07/2017,1625-15655,Fresh Produce,Juvenile Temporary Detent. Cntr - 440,Award,Cristina Foods Inc,220560.00,"Cristina Foods, Inc.",MBE (9),90,,3,2,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170412-Intent_to_Award_EDS.pdf
04/07/2017,1625-15655,,,,,,Balton Corporation,WBE (6),10,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170412-Intent_to_Award_EDS.pdf
04/07/2017,1684-15558,Diesel and Unleaded Fuel,*Countywide--Multiple Departments - 001,Award,Black Dog Chicago Corporation dba Black Dog Corporation,1224721.53,Black Dog Corporation,MBE (8),95,,3,2,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170412-Intent_to_Award_EDS.pdf
04/07/2017,1684-15558,,,,,,"Savan Source, Inc.",WBE (8),,5,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170412-Intent_to_Award_EDS.pdf
04/07/2017,1645-15735,Steamfitter Supplies,Dept of Facilities/Mgmt - 200,Award,"Marco Supply Company, Inc. dba Johnson Pipe and Supply Corporation",1167485.31,,,,,2,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170412-Intent_to_Award_EDS.pdf
04/07/2017,1645-15735,,,,,,Boye Janitorial,MBE (6),,25,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170412-Intent_to_Award_EDS.pdf
04/07/2017,1645-15735,,,,,,Inter-City Supply Co.,WBE (6),,10,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170412-Intent_to_Award_EDS.pdf
04/07/2017,1645-15610,Stanley Best Acess Supplies,Facilities Management,Award,Root Brothers Manufacturing and Supply Company,252830.00,,,,,3,1,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170412-Intent_to_Award_EDS.pdf
04/07/2017,1645-15610,,,,,,Nelson Transport,MBE (6),,25,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170412-Intent_to_Award_EDS.pdf
04/07/2017,1685-15811,Roselle Road at Schaumburg Road,Transportation and Highways - 500,Award,"A Lamp Concrete Contractors, Inc.",889351.29,,,,,7,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170412-Intent_to_Award_EDS.pdf
04/07/2017,1685-15811,,,,,,"Vilber, Inc.",MBE (7),5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170412-Intent_to_Award_EDS.pdf
04/07/2017,1685-15811,,,,,,"Alas Trucking, Inc.",WBE (9),1,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170412-Intent_to_Award_EDS.pdf
04/07/2017,1685-15811,,,,,,"Electric Resource Management, Inc.",MBE (6),10,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170412-Intent_to_Award_EDS.pdf
04/07/2017,1645-15846,Floor Tile Supplies,Dept of Facilities/Mgmt - 200,Award,"Tiles in Styles, LLC dba Taza Supplies , LLC",609661.00,"Tiles In Styles, LLC dba Taza Supplies LLC",WBE (8),25,,1,1,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170412-Intent_to_Award_EDS.pdf
04/07/2017,1653-15530,Computer Hardware Maintenance,Office of the Chief Info. Officer - 009,Award,"System Solutions, Inc.",1389964.25,"System Solutions, Inc.",MBE (8),100,,3,2,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170412-Intent_to_Award_EDS.pdf
05/05/2017,1753-16287,Frozen Food Products,Juvenile Temporary Detent. Cntr - 440,Award,"Cristina Foods, Inc.",1626261.50,"Cristina Foods, Inc.",MBE (9),90,,2,2,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170510-Intent_to_Award_EDS.pdf
05/05/2017,1753-16287,,,,,,Balton Corporation,WBE (6),10,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170510-Intent_to_Award_EDS.pdf
05/05/2017,1653-15733,Maintenance and Monitoring Services of the Security System,*Countywide--Multiple Departments - 001,Award,Tyco Integrated Security,278715.18,,DNA,,,DNA,DNA,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170510-Intent_to_Award_EDS.pdf
05/05/2017,1645-15743,Metal Collections and Recycling,Dept of Facilities/Mgmt - 200,Award,"United Scrap Metal, Inc.",,,DNA,,,2,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170510-Intent_to_Award_EDS.pdf
05/05/2017,1755-16129,Happ Road,Transportation and Highways - 500,Award,Dunnet Bay Construction Company,1256082.55,,,,,8,1,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170510-Intent_to_Award_EDS.pdf
05/05/2017,1755-16129,,,,,,Araiza Corporation,DBE,5.8,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170510-Intent_to_Award_EDS.pdf
05/05/2017,1755-16129,,,,,,RA Seaton Contractor Services LLC,DBE,3.1,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170510-Intent_to_Award_EDS.pdf
05/05/2017,1755-16129,,,,,,Maintenance Coating Co.,DBE,0.7,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170510-Intent_to_Award_EDS.pdf
05/05/2017,1755-16129,,,,,,Industrial Fence,DBE,8.5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170510-Intent_to_Award_EDS.pdf
05/05/2017,1755-16129,,,,,,"II in One Contractors, Inc.",DBE,13.3,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170510-Intent_to_Award_EDS.pdf
05/05/2017,1755-16129,,,,,,Brown R. Cartage dba Traffic Solutions,DBE,2.5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170510-Intent_to_Award_EDS.pdf
05/05/2017,1755-16129,,,,,,"Conin Contractors, Inc.",DBE,1.2,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170510-Intent_to_Award_EDS.pdf
05/05/2017,1623-15713,Ford F250 Pickup Trucks,*Countywide--Multiple Departments - 001,Award,BCR Automotive Group LLC d/b/a Roesch Ford,289051.00,,DNA,,,3,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170510-Intent_to_Award_EDS.pdf
05/05/2017,1635-15831,Janitorial Services,Medical Examiner - 259,Award,"Eco-Clean Maintenance, Inc.",532567.68,,,,,7,6,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170510-Intent_to_Award_EDS.pdf
05/05/2017,1635-15831,,,,,,Dust 'Em Clean Maintenance Company,MBE(6),35,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170510-Intent_to_Award_EDS.pdf
05/05/2017,1790-16177,Bottled Water Service,*Countywide--Multiple Departments - 001,Award,Skyline Box & Packaging,350288.90,,DNA,,,2,2,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170510-Intent_to_Award_EDS.pdf
05/05/2017,1611-15762,Vehicle Leasing and Maintenance,Office of the Sheriff - 210,Award,"Enterprise Leasing Management, Inc.",2387161.20,,,,,1,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170510-Intent_to_Award_EDS.pdf
05/05/2017,1611-15762,,,,,,"Sutton Ford, Inc.",MBE (6),12.5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170510-Intent_to_Award_EDS.pdf
05/05/2017,1650-15465,EOC Audio and Visual Equipment Warranty,EMHS Homeland Security -769,Award,Audio Fidelity Communications Corporation,698951.19,,DNA,,,DNA,DNA,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170510-Intent_to_Award_EDS.pdf
06/02/2017,1611-15841,Aftermarket Vehicle Lighting Equipment,Office of the Sheriff - 210,Award,"Chicago Parts and Sound, LLC",227554.00,,,,,5,1,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170607-Intent_to_Award_EDS.pdf
06/02/2017,1645-15834,Paint Accessories,Dept of Facilities/Mgmt - 200,Award,"PPG Architectural Finishes, Inc.",280273.04,,,,,5,3,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170607-Intent_to_Award_EDS.pdf
06/02/2017,1718-16120,Integrated Property Tax And Mass Appraisal System - Independent Verification And Validation Services,Office of the Chief Info. Officer - 009,Award,"Grant Thornton, LLP",1024000.00,,,,,DNA,DNA,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170607-Intent_to_Award_EDS.pdf
06/02/2017,1718-16120,,,,,,"Amerigo, LLC",MBE (9),35,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170607-Intent_to_Award_EDS.pdf
06/02/2017,1623-15621,Spoil Removal Services,Transportation and Highways - 500,Award,"BrackenBox, Inc.",380000.00,,,,,DNA,DNA,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170607-Intent_to_Award_EDS.pdf
06/02/2017,1784-15935,Inmate Uniforms,Office of the Sheriff - 210,Award,Bob Barker Co.,715896.90,,,,,5,1,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170607-Intent_to_Award_EDS.pdf
06/02/2017,1745-16124,Moving Services,County Clerk - 110,Award,"Smith Movers, Inc.",224828.40,,,,,5,2,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170628-Intent_to_Award_EDS.pdf
06/23/2017,1645-15812,"Collection, Recycling and Disposal of Electronic Waste",Dept of Facilities/Mgmt - 200,Award,"B & K Technology Solutions, Inc. dba Advance Technology Recycling",,,,,,4,1,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170628-Intent_to_Award_EDS.pdf
06/23/2017,1628-15722,Electrical Engineering Design Services,Transportation and Highways - 500,Award,"Christopher B. Burke Engineering, Ltd.",500000.00,,,,,5,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170628-Intent_to_Award_EDS.pdf
06/23/2017,1628-15722,,,,,,"Delta Engineering Group, LLC",MBE (8),25,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170628-Intent_to_Award_EDS.pdf
06/23/2017,1628-15722,,,,,,Fish Transportation Group,WBE (7),10,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170628-Intent_to_Award_EDS.pdf
06/23/2017,1655-15799,Geotechnical Services,Transportation and Highways - 500,Award,"GSG Consultants, Inc.",500000.00,"GSG Consultants, Inc.",MBE (9),100,,3,2,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170628-Intent_to_Award_EDS.pdf
06/23/2017,1655-15886,Central Road - Ela Road to Roselle Road,Transportation and Highways - 500,Award,Lorig Construction Company,13481129.47,,,,,9,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170628-Intent_to_Award_EDS.pdf
06/23/2017,1655-15886,,,,,,Truck King Hauling Contractors,MBE (9),0.4,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170628-Intent_to_Award_EDS.pdf
06/23/2017,1655-15886,,,,,,DND Electric,MBE (9),10.2,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170628-Intent_to_Award_EDS.pdf
06/23/2017,1655-15886,,,,,,MA Rebar Services,WBE (7),7.7,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170628-Intent_to_Award_EDS.pdf
06/23/2017,1655-15886,,,,,,"Abitua Sewer, Water & Plumbing",MBE (9),7.4,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170628-Intent_to_Award_EDS.pdf
06/23/2017,1655-15886,,,,,,Brown R Cartage dba Traffic Solutions,MBE (9),0.7,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170628-Intent_to_Award_EDS.pdf
06/23/2017,1655-15886,,,,,,Natural Creations Landscaping,MBE (9),3.6,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170628-Intent_to_Award_EDS.pdf
06/23/2017,1655-15886,,,,,,Divine Cement,MBE (6),2.4,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170628-Intent_to_Award_EDS.pdf
06/23/2017,1655-15886,,,,,,"JNS, Inc.",WBE (7),0.7,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170628-Intent_to_Award_EDS.pdf
06/23/2017,1655-15886,,,,,,Great Lakes Metal Corp.,WBE (7),1.8,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170628-Intent_to_Award_EDS.pdf
07/14/2017,1645-15585R,Ceiling Tile Supplies,Dept of Facilities/Mgmt - 200,Award,"Chicago United Industries, Ltd",527649.30,,,,,4,2,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1645-15585R,,,,,,"Triangle Fabrication & Body, Inc.",MBE (9),,25,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1645-15585R,,,,,,"The Travel Gallery, Inc.",WBE (7),,10,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1685-15879,Pavement Preservation and RehabilitationProgram - South 2016 Section: 16-B6735-00-PV,Transportation and Highways - 500,Award,"Triggi Construction, Inc.",2755999.09,,,,,4,,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1685-15879,,,,,,"Work Zone Safety, Inc.",MBE (7),4.7,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1685-15879,,,,,,Maintenance Coating Compnay,MBE (7),1.4,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1685-15879,,,,,,"City Lights, Ltd.",WBE (7),6,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1685-15879,,,,,,Valley Sumit Joint venture,MBE (8),29,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1745-16286,Moving Services,Capital Planning and Policy - 031,Award,"Midway Moving and Storage, Inc.",460000.00,,,,,5,4,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1745-16286,,,,,,"Storage, Inc.",WBE (9),10,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1745-16286,,,,,,"Midwest Moving and Storage, Inc.",MBE (9),25,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1730-16416,Employer-Sponsored Vision Care Benefits,Risk Management - 008,Award,"Davis Vision, Inc.",9000000.00,,,,,3,,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1730-16416,,,,,,"Tropical Optical, Inc.",MBE (9),28,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1730-16416,,,,,,"Expertise Travel Services International, LLC",WBE(7),10,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166 B,Design Engineering Services,Transportation and Highways - 500,Award,"Civiltech Engineering, Inc.",2500000.00,,,,,48,11,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166 B,,,,,,"Metro Strategies, Inc.",DBE,5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166 B,,,,,,"CKL Engineering Group, LLC",DBE,20,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166 B,,,,,,American Surveying and Engineering PC,DBE,10,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166 B,,,,,,"GSG Consultant, Inc.",DBE,8,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166 B,,,,,,"Altamanu, Inc.",DBE,6,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166 C,Design Engineering Services,Transportation and Highways - 500,Award,TranSystems Corporation,2500000.00,,,,,48,11,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166 C,,,,,,Atlas Engineering Group,DBE,10,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166 C,,,,,,"GSG Consultant, Inc.",DBE,5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166 C,,,,,,Wynndalco Enterprises LLC,DBE,5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166 A,Design Engineering Services,Transportation and Highways - 500,Award,"AECOM Technical Services, Inc.",2500000.00,,,,,48,11,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166 A,,,,,,"EJM Engineering, Inc.",DBE,5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166 A,,,,,,"GSG Consultant, Inc.",DBE,5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166 A,,,,,,"2IM Group, LLC",DBE,7,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166 A,,,,,,"Accurate Group, Inc.",DBE,5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166 A,,,,,,Design Consulting Engineering,DBE,2,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166 A,,,,,,Millennia Professional Services,DBE,4,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166 A,,,,,,"Delta Engineering Group, LLC",DBE,4,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166 A,,,,,,Atlas Engineering Group,DBE,7,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166 A,,,,,,"Metro Strategies, Inc.",DBE,2,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166D,Design Engineering Services,Transportation and Highways - 500,Award,"Infrastructure Engineering, Inc.",2500000.00,,,,,48,11,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166D,,,,,,Material Service Testing,DBE,5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166D,,,,,,CKL Engineers,DBE,5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166D,,,,,,Gandhi & Associates,DBE,5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166D,,,,,,Rada Architects,DBE,2,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166D,,,,,,"Infrastructure Engineering Services, Inc.",DBE,73,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166D,,,,,,Environmental Design International,DBE,10,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166E,Design Engineering Services,Transportation and Highways - 500,Award,"Primera Engineers, Ltd.",2500000.00,,,,,48,11,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166E,,,,,,"EJM Engineering, Inc.",DBE,21,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166E,,,,,,"GSG Consultant, Inc.",DBE,6,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166E,,,,,,"DB Sterlin Consultants, Inc.",DBE,6,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1628-15166E,,,,,,"Site Design Group, Ltd.",DBE,2,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1613-15330,Security System Maintenance and Repair Services,Dept of Facilities/Mgmt - 200,Award,"Accurate Controls, Inc.",389349.77,,,,,N/A,N/A,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1790-15854,iNovah Maintenance and Support,*Countywide--Multiple Departments - 001,Award,"System Innovators, a division of N. Harris Computer Corporation",779065.79,,,,,N/A,N/A,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1618-15644,"HFSA,DCFSA,HSA, Commuter Employee Benefits Administration",Risk Management - 008,Award,ConnectYourCare,607680.00,,,,,6,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1618-15644,,,,,,"AltaStaff, LLC",WBE (7),17.5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1684-15660,Publication of Legal Notices,*Countywide--Multiple Departments - 001,Award,"Chicago Tribune Company, LLC",529361.71,,,,,1,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1684-15660,,,,,,"Systems Unlimited, Inc.",MBE (8),,35,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1718-16657,Independent Verification and Validation Services,Office of the Chief Info. Officer - 009,Award,PricewaterhouseCooper LLP (PwC),1666440.00,,,,,N/A,N/A,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1718-16657,,,,,,"Next Generation, Inc.",MBE (9),20,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
07/14/2017,1718-16657,,,,,,"DMD Consulting, LLC",WBE (7),15,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170719-Intent_to_Award_EDS.pdf
09/08/2017,1730-16580,"Printing, Tax Bill paper, Envelopes, Brochures, Folding and Inserting for the Billing and Collection of Tax Years 2017 and 2018 Property Taxes Taxes",Treasurer Tax Sales Automation - 534,Award,"JJ Collins Sons, Inc.",1097508.00,,,,,1,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170913-Intent_to_Award_EDS.pdf
09/08/2017,1730-16580,,,,,,"Montenegro Paper, LTD.",MBE (9),16,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170913-Intent_to_Award_EDS.pdf
09/08/2017,1784-16512B,Power Tools and Accessories Catalogs,Dept of Facilities/Mgmt - 200,Award,Root Brothers Manufacturing and Supply Company,153187.50,,,,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170913-Intent_to_Award_EDS.pdf
09/08/2017,1784-16512B,,,,,,"Nelson Transport Services, Inc.",MBE (6),,25,3,1,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170913-Intent_to_Award_EDS.pdf
09/08/2017,1712-16491,Hygiene Supplies,*Countywide--Multiple Departments - 001,Award,"Bob Barker Company, Inc.",652239.28,,,,,6,3,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170913-Intent_to_Award_EDS.pdf
09/08/2017,1784-16393,Pest Control Services,*Countywide--Multiple Departments - 001,Award,"Quality & Excellence Pest Control, Inc.",488816.00,Quality & Excellence Pest Control,MBE (6),90,,6,3,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170913-Intent_to_Award_EDS.pdf
09/08/2017,1784-16393,,,,,,"Inter-City Supply Co., Inc.",WBE (6),10,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/170913-Intent_to_Award_EDS.pdf
09/08/2017,1712-16515,Ammunition,Office of the Sheriff - 210,Award,Ray O' Herron,1586051.00,,,,,3,2,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170913-Intent_to_Award_EDS.pdf
09/08/2017,1625-15738,Online Public Auction Service,Chief Procurement Officer - 030,Award,"The Public Group, LLC",0.00,,DNA,,,,,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170913-Intent_to_Award_EDS.pdf
09/08/2017,1718-16625,Telecommunication Services,Office of the Chief Info. Officer - 009,Award,AT&T Corp.,35000000.00,,DNA,,,,,true,http://opendocs.cookcountyil.gov/procurement/intent-award/170913-Intent_to_Award_EDS.pdf
10/06/2017,1745-16622,Ford Trucks,*Countywide--Multiple Departments - 001,Award,"BCR Automotive Group LLC, dba Roesch Ford",,,,,,3,2,true,http://opendocs.cookcountyil.gov/procurement/intent-award/171006-Intent_to_Award_EDS.pdf
